POP_TOT_2022,A2021_1_Compr_media,CUM_2011_2021_TOT_TRS_IMM,TRS_IMM/TOT_POP*1000
3483,925,264,76
4094,925,265,65
3504,925,233,66
7951,925,520,65
4298,925,272,63
9088,925,486,54
9804,925,428,44
10441,925,501,48
4703,925,223,47
17645,925,991,56
9543,925,443,46
9010,925,356,40
7768,925,351,45
5714,925,351,61
12928,925,1596,123
12839,925,1234,96
11463,925,742,65
12899,925,1079,84
5213,925,422,81
12054,925,868,72
5487,930,348,63
3677,930,225,61
4218,930,287,68
3835,930,342,89
3752,930,269,72
4701,930,261,56
4511,930,276,61
5543,930,447,81
3533,930,246,70
6511,930,478,73
5830,930,397,68
4928,930,427,87
7647,930,484,63
9296,930,425,46
3227,935,328,102
4069,935,446,110
5156,935,417,81
6516,935,528,81
3155,935,137,43
17610,935,733,42
5494,935,285,52
4800,940,379,79
6336,940,540,85
6262,940,426,68
10325,940,423,41
4485,940,954,213
12438,945,528,42
8374,945,644,77
4278,945,296,69
17109,945,1437,84
5033,950,541,107
7239,950,859,119
3075,950,201,65
4095,950,382,93
3556,950,340,96
3379,950,407,120
3874,950,365,94
4443,950,362,81
4549,950,335,74
16498,950,1831,111
4138,950,352,85
10544,950,707,67
5112,950,509,99
7280,950,734,101
3704,950,259,70
3878,950,248,64
11555,950,1067,92
11826,950,1015,86
6767,950,605,89
5500,950,492,89
5292,950,347,66
8385,950,517,62
4202,950,574,137
18038,950,1390,77
4372,950,182,42
9882,950,496,50
13020,950,1218,94
3689,950,286,77
10065,950,512,51
12192,950,667,55
3051,950,169,55
6732,950,221,33
4609,950,192,42
4469,950,208,46
8170,950,446,55
4762,950,244,51
4023,950,188,47
4782,955,473,99
5816,955,550,95
9444,955,731,77
3392,955,186,55
8134,955,500,61
8709,955,281,32
3427,955,249,73
4199,955,195,46
11231,955,890,79
4437,960,658,148
3982,960,607,153
7611,960,522,69
5386,960,459,85
4029,960,332,83
6023,960,663,110
3968,960,427,108
4417,960,291,66
6016,960,243,40
3660,960,220,60
8187,960,1079,132
16579,960,1217,73
11643,960,912,78
8148,960,552,68
4847,965,421,87
10660,965,1197,112
3038,965,396,130
3458,965,281,81
10388,965,542,52
12017,965,405,34
5026,965,383,76
8500,965,1123,132
3674,965,462,126
6991,970,510,73
5242,970,541,103
4382,970,487,111
3043,970,124,41
10505,970,946,90
5174,975,453,87
4786,975,463,97
3246,975,335,103
4343,975,473,109
4767,975,371,78
4815,975,500,104
5747,975,432,75
5857,975,412,70
3782,975,391,104
3997,975,338,84
9135,975,722,79
5233,975,400,76
3677,975,260,71
5514,975,416,75
6906,975,713,103
3880,975,389,100
10679,975,898,84
6020,975,651,108
12128,975,848,70
8538,975,934,109
11508,975,1201,104
14970,975,1905,127
13136,975,641,49
18880,975,2016,107
5513,975,228,41
4237,975,210,50
4869,975,353,73
3492,980,350,100
6211,980,563,91
8045,980,1059,132
7330,980,739,101
14602,980,1323,91
8796,980,565,64
6785,985,438,65
6010,985,563,94
8835,985,973,110
3763,985,316,84
4682,985,348,74
9815,985,866,88
3759,985,407,108
5484,990,530,97
5098,990,364,71
4247,990,357,84
3201,990,191,60
15842,990,950,60
4548,990,189,42
6623,990,269,41
7367,990,415,56
7218,990,461,64
4997,990,601,120
19731,990,1228,62
17986,990,1318,73
7494,995,831,111
4196,995,221,53
4117,995,359,87
9697,995,879,91
5390,995,506,94
3078,995,287,93
5349,995,276,52
17256,995,406,24
7830,1000,822,105
5999,1000,945,158
5625,1000,612,109
5817,1000,922,159
7430,1000,720,97
18090,1000,2083,115
4785,1000,447,93
6600,1000,695,105
5671,1000,596,105
7281,1000,712,98
5952,1000,477,80
7257,1000,815,112
3144,1000,276,88
7046,1000,564,80
5174,1000,393,76
4928,1000,550,112
4308,1000,337,78
3176,1000,303,95
5229,1000,440,84
3842,1000,443,115
4931,1000,537,109
9270,1000,925,100
14711,1000,1757,119
4288,1000,459,107
5340,1000,607,114
3067,1000,272,89
4802,1000,458,95
4814,1000,453,94
14985,1000,1416,95
5106,1000,432,85
5712,1000,431,75
6352,1000,570,90
9491,1000,788,83
4436,1000,571,129
